,Current Angular Velocity,Goal Side,Left Observer Detection,Center Observer Detection,Right Observer Detection,Output
0,Sharp Left,Left,Close,Close,Close,Right
1,Sharp Left,Left,Close,Close,Far,Right
2,Sharp Left,Left,Close,Close,Not Detected,Right
3,Sharp Left,Left,Close,Far,Close,Right
4,Sharp Left,Left,Close,Far,Far,Right
5,Sharp Left,Left,Close,Far,Not Detected,Right
6,Sharp Left,Left,Close,Not Detected,Close,Straight
7,Sharp Left,Left,Close,Not Detected,Far,Right
8,Sharp Left,Left,Close,Not Detected,Not Detected,Right
9,Sharp Left,Left,Far,Close,Close,Right
10,Sharp Left,Left,Far,Close,Far,Right
11,Sharp Left,Left,Far,Close,Not Detected,Right
12,Sharp Left,Left,Far,Far,Close,Right
13,Sharp Left,Left,Far,Far,Far,Right
14,Sharp Left,Left,Far,Far,Not Detected,Right
15,Sharp Left,Left,Far,Not Detected,Close,Right
16,Sharp Left,Left,Far,Not Detected,Far,Right
17,Sharp Left,Left,Far,Not Detected,Not Detected,Right
18,Sharp Left,Left,Not Detected,Close,Close,Right
19,Sharp Left,Left,Not Detected,Close,Far,Right
20,Sharp Left,Left,Not Detected,Close,Not Detected,Right
21,Sharp Left,Left,Not Detected,Far,Close,Right
22,Sharp Left,Left,Not Detected,Far,Far,Right
23,Sharp Left,Left,Not Detected,Far,Not Detected,Right
24,Sharp Left,Left,Not Detected,Not Detected,Close,Right
25,Sharp Left,Left,Not Detected,Not Detected,Far,Right
26,Sharp Left,Left,Not Detected,Not Detected,Not Detected,Right
27,Left,Left,Close,Close,Close,Left
28,Left,Left,Close,Close,Far,Left
29,Left,Left,Close,Close,Not Detected,Right
30,Left,Left,Close,Far,Close,Left
31,Left,Left,Close,Far,Far,Left
32,Left,Left,Close,Far,Not Detected,Right
33,Left,Left,Close,Not Detected,Close,Left
34,Left,Left,Close,Not Detected,Far,Left
35,Left,Left,Close,Not Detected,Not Detected,Right
36,Left,Left,Far,Close,Close,Left
37,Left,Left,Far,Close,Far,Left
38,Left,Left,Far,Close,Not Detected,Left
39,Left,Left,Far,Far,Close,Left
40,Left,Left,Far,Far,Far,Straight
41,Left,Left,Far,Far,Not Detected,Right
42,Left,Left,Far,Not Detected,Close,Left
43,Left,Left,Far,Not Detected,Far,Straight
44,Left,Left,Far,Not Detected,Not Detected,Right
45,Left,Left,Not Detected,Close,Close,Left
46,Left,Left,Not Detected,Close,Far,Left
47,Left,Left,Not Detected,Close,Not Detected,Left
48,Left,Left,Not Detected,Far,Close,Left
49,Left,Left,Not Detected,Far,Far,Left
50,Left,Left,Not Detected,Far,Not Detected,Straight
51,Left,Left,Not Detected,Not Detected,Close,Left
52,Left,Left,Not Detected,Not Detected,Far,Left
53,Sharp Left,Front,Close,Close,Close,Right
54,Sharp Left,Right,Close,Close,Close,Right
55,Sharp Left,Front,Close,Close,Far,Right
56,Sharp Left,Right,Close,Close,Far,Right
57,Sharp Left,Front,Close,Close,Not Detected,Right
58,Sharp Left,Right,Close,Close,Not Detected,Right
59,Sharp Left,Front,Close,Far,Close,Right
60,Sharp Left,Right,Close,Far,Close,Right
61,Sharp Left,Front,Close,Far,Far,Right
62,Sharp Left,Right,Close,Far,Far,Right
